customer_id,customer_name,segment,region,registration_date
C0001,Клиент 0001,B2C,Казань,2024-04-26
C0002,Клиент 0002,B2B,Новосибирск,2024-07-05
C0003,Клиент 0003,Партнеры,Краснодар,2024-12-25
C0004,Клиент 0004,B2B,Новосибирск,2025-06-20
C0005,Клиент 0005,Партнеры,Санкт-Петербург,2024-11-16
C0006,Клиент 0006,B2B,Казань,2025-12-06
C0007,Клиент 0007,B2C,Москва,2024-08-21
C0008,Клиент 0008,B2C,Краснодар,2025-03-06
C0009,Клиент 0009,B2B,Москва,2025-11-10
C0010,Клиент 0010,Партнеры,Москва,2024-07-26
C0011,Клиент 0011,B2C,Краснодар,2025-08-03
C0012,Клиент 0012,B2B,Москва,2024-12-07
C0013,Клиент 0013,B2B,Москва,2024-04-18
C0014,Клиент 0014,B2B,Казань,2025-02-09
C0015,Клиент 0015,B2B,Москва,2024-06-27
C0016,Клиент 0016,B2C,Санкт-Петербург,2025-04-19
C0017,Клиент 0017,B2B,Москва,2024-07-09
C0018,Клиент 0018,Партнеры,Москва,2025-05-25
C0019,Клиент 0019,B2B,Москва,2024-11-09
C0020,Клиент 0020,B2C,Москва,2025-12-13
C0021,Клиент 0021,B2C,Казань,2024-11-01
C0022,Клиент 0022,B2B,Санкт-Петербург,2024-04-22
C0023,Клиент 0023,B2B,Краснодар,2025-10-24
C0024,Клиент 0024,B2C,Санкт-Петербург,2024-08-21
C0025,Клиент 0025,B2C,Санкт-Петербург,2024-05-04
C0026,Клиент 0026,B2C,Москва,2025-09-16
C0027,Клиент 0027,B2C,Москва,2024-05-23
C0028,Клиент 0028,B2B,Краснодар,2025-07-26
C0029,Клиент 0029,B2C,Казань,2025-11-30
C0030,Клиент 0030,B2B,Краснодар,2025-05-05
C0031,Клиент 0031,B2B,Краснодар,2025-11-30
C0032,Клиент 0032,B2B,Екатеринбург,2024-07-11
C0033,Клиент 0033,B2B,Санкт-Петербург,2025-05-28
C0034,Клиент 0034,B2C,Казань,2024-05-28
C0035,Клиент 0035,B2C,Екатеринбург,2024-09-16
C0036,Клиент 0036,B2C,Екатеринбург,2024-07-18
C0037,Клиент 0037,B2C,Новосибирск,2024-09-07
C0038,Клиент 0038,B2C,Екатеринбург,2024-07-21
C0039,Клиент 0039,B2C,Санкт-Петербург,2025-09-01
C0040,Клиент 0040,B2B,Москва,2025-12-06
C0041,Клиент 0041,B2C,Москва,2024-04-13
C0042,Клиент 0042,B2C,Москва,2025-10-13
C0043,Клиент 0043,Партнеры,Москва,2024-02-03
C0044,Клиент 0044,B2B,Санкт-Петербург,2024-09-09
C0045,Клиент 0045,B2B,Москва,2025-11-03
C0046,Клиент 0046,B2C,Москва,2024-09-09
C0047,Клиент 0047,B2B,Санкт-Петербург,2025-11-19
C0048,Клиент 0048,B2C,Санкт-Петербург,2025-08-04
C0049,Клиент 0049,B2B,Санкт-Петербург,2025-06-27
C0050,Клиент 0050,B2B,Санкт-Петербург,2024-07-13
C0051,Клиент 0051,B2B,Москва,2025-07-12
C0052,Клиент 0052,B2C,Казань,2024-09-01
C0053,Клиент 0053,B2C,Екатеринбург,2025-03-24
C0054,Клиент 0054,B2B,Москва,2025-07-09
C0055,Клиент 0055,B2C,Казань,2025-04-12
C0056,Клиент 0056,B2B,Санкт-Петербург,2024-09-25
C0057,Клиент 0057,B2C,Санкт-Петербург,2025-07-27
C0058,Клиент 0058,B2B,Краснодар,2025-12-09
C0059,Клиент 0059,Партнеры,Екатеринбург,2024-04-08
C0060,Клиент 0060,Партнеры,Екатеринбург,2024-12-28
C0061,Клиент 0061,B2B,Санкт-Петербург,2024-09-28
C0062,Клиент 0062,B2C,Екатеринбург,2024-06-06
C0063,Клиент 0063,B2C,Казань,2024-08-04
C0064,Клиент 0064,B2C,Москва,2025-01-05
C0065,Клиент 0065,B2C,Москва,2024-07-30
C0066,Клиент 0066,B2C,Новосибирск,2024-05-10
C0067,Клиент 0067,Партнеры,Екатеринбург,2025-12-06
C0068,Клиент 0068,B2B,Новосибирск,2025-06-05
C0069,Клиент 0069,B2B,Санкт-Петербург,2025-02-08
C0070,Клиент 0070,B2C,Краснодар,2025-03-21
C0071,Клиент 0071,B2C,Санкт-Петербург,2025-09-05
C0072,Клиент 0072,Партнеры,Новосибирск,2024-09-21
C0073,Клиент 0073,B2C,Москва,2024-09-06
C0074,Клиент 0074,B2C,Екатеринбург,2024-12-02
C0075,Клиент 0075,B2C,Москва,2024-08-27
C0076,Клиент 0076,B2B,Санкт-Петербург,2024-08-06
C0077,Клиент 0077,B2C,Санкт-Петербург,2024-11-13
C0078,Клиент 0078,B2C,Москва,2025-03-17
C0079,Клиент 0079,B2B,Санкт-Петербург,2024-02-21
C0080,Клиент 0080,B2C,Москва,2025-04-16
C0081,Клиент 0081,Партнеры,Екатеринбург,2024-08-24
C0082,Клиент 0082,Партнеры,Москва,2024-12-02
C0083,Клиент 0083,B2B,Казань,2024-12-02
C0084,Клиент 0084,B2C,Казань,2025-10-05
C0085,Клиент 0085,Партнеры,Санкт-Петербург,2025-04-04
C0086,Клиент 0086,B2C,Краснодар,2024-03-08
C0087,Клиент 0087,B2C,Казань,2025-06-25
C0088,Клиент 0088,B2C,Москва,2025-12-07
C0089,Клиент 0089,B2B,Екатеринбург,2025-11-27
C0090,Клиент 0090,B2C,Новосибирск,2025-07-06
C0091,Клиент 0091,B2C,Новосибирск,2025-09-02
C0092,Клиент 0092,B2C,Новосибирск,2024-03-20
C0093,Клиент 0093,B2B,Казань,2025-06-26
C0094,Клиент 0094,B2C,Санкт-Петербург,2024-01-27
C0095,Клиент 0095,B2B,Новосибирск,2024-05-25
C0096,Клиент 0096,B2B,Екатеринбург,2025-03-01
C0097,Клиент 0097,B2C,Казань,2025-04-13
C0098,Клиент 0098,B2C,Казань,2024-10-10
C0099,Клиент 0099,B2C,Москва,2025-07-09
C0100,Клиент 0100,B2C,Москва,2025-05-21
C0101,Клиент 0101,B2C,Санкт-Петербург,2025-11-09
C0102,Клиент 0102,B2B,Казань,2024-05-30
C0103,Клиент 0103,B2B,Санкт-Петербург,2025-03-24
C0104,Клиент 0104,Партнеры,Екатеринбург,2024-07-13
C0105,Клиент 0105,B2C,Санкт-Петербург,2024-07-19
C0106,Клиент 0106,B2C,Екатеринбург,2024-08-06
C0107,Клиент 0107,B2B,Москва,2024-03-07
C0108,Клиент 0108,B2B,Москва,2025-04-24
C0109,Клиент 0109,B2B,Екатеринбург,2024-10-16
C0110,Клиент 0110,B2B,Санкт-Петербург,2025-02-18
C0111,Клиент 0111,Партнеры,Казань,2024-03-13
C0112,Клиент 0112,B2C,Москва,2024-05-28
C0113,Клиент 0113,B2B,Екатеринбург,2025-10-09
C0114,Клиент 0114,B2B,Москва,2024-01-25
C0115,Клиент 0115,Партнеры,Москва,2025-05-28
C0116,Клиент 0116,B2C,Москва,2024-09-05
C0117,Клиент 0117,B2C,Казань,2025-12-04
C0118,Клиент 0118,B2C,Москва,2024-06-27
C0119,Клиент 0119,B2C,Москва,2024-11-19
C0120,Клиент 0120,B2B,Москва,2025-03-29
C0121,Клиент 0121,B2C,Казань,2025-04-17
C0122,Клиент 0122,B2B,Москва,2025-06-16
C0123,Клиент 0123,B2B,Новосибирск,2024-02-15
C0124,Клиент 0124,Партнеры,Москва,2024-04-19
C0125,Клиент 0125,B2C,Москва,2025-03-25
C0126,Клиент 0126,B2C,Краснодар,2024-11-02
C0127,Клиент 0127,B2B,Москва,2024-02-15
C0128,Клиент 0128,B2C,Москва,2024-01-21
C0129,Клиент 0129,B2C,Москва,2025-04-27
C0130,Клиент 0130,Партнеры,Краснодар,2025-02-21
C0131,Клиент 0131,B2B,Москва,2025-06-19
C0132,Клиент 0132,B2B,Казань,2024-05-27
C0133,Клиент 0133,Партнеры,Новосибирск,2024-04-19
C0134,Клиент 0134,B2C,Екатеринбург,2025-02-19
C0135,Клиент 0135,B2B,Санкт-Петербург,2025-11-09
C0136,Клиент 0136,B2C,Краснодар,2024-05-29
C0137,Клиент 0137,B2B,Краснодар,2025-07-12
C0138,Клиент 0138,B2C,Казань,2024-09-19
C0139,Клиент 0139,B2B,Краснодар,2025-04-17
C0140,Клиент 0140,Партнеры,Казань,2025-09-30
C0141,Клиент 0141,B2B,Москва,2024-07-01
C0142,Клиент 0142,B2B,Казань,2024-04-08
C0143,Клиент 0143,Партнеры,Краснодар,2025-03-24
C0144,Клиент 0144,B2B,Санкт-Петербург,2024-11-16
C0145,Клиент 0145,B2C,Казань,2025-12-18
C0146,Клиент 0146,B2B,Санкт-Петербург,2024-05-18
C0147,Клиент 0147,B2C,Новосибирск,2024-11-07
C0148,Клиент 0148,B2C,Санкт-Петербург,2025-08-06
C0149,Клиент 0149,B2C,Казань,2024-03-02
C0150,Клиент 0150,B2C,Москва,2025-10-16
C0151,Клиент 0151,B2B,Санкт-Петербург,2025-09-09
C0152,Клиент 0152,B2C,Новосибирск,2025-11-02
C0153,Клиент 0153,B2C,Краснодар,2025-02-23
C0154,Клиент 0154,Партнеры,Екатеринбург,2025-07-13
C0155,Клиент 0155,B2C,Новосибирск,2025-03-27
C0156,Клиент 0156,B2B,Новосибирск,2025-06-27
C0157,Клиент 0157,B2B,Москва,2024-11-28
C0158,Клиент 0158,B2B,Новосибирск,2024-07-22
C0159,Клиент 0159,B2B,Москва,2024-07-31
C0160,Клиент 0160,B2B,Казань,2025-07-18
C0161,Клиент 0161,B2C,Москва,2024-02-26
C0162,Клиент 0162,B2B,Москва,2024-10-12
C0163,Клиент 0163,B2C,Казань,2025-12-07
C0164,Клиент 0164,Партнеры,Москва,2024-09-10
C0165,Клиент 0165,B2B,Санкт-Петербург,2024-08-16
C0166,Клиент 0166,B2C,Санкт-Петербург,2025-03-12
C0167,Клиент 0167,B2B,Екатеринбург,2025-11-19
C0168,Клиент 0168,B2C,Москва,2025-08-30
C0169,Клиент 0169,B2C,Москва,2024-02-19
C0170,Клиент 0170,B2B,Новосибирск,2025-04-07
C0171,Клиент 0171,B2B,Санкт-Петербург,2024-08-25
C0172,Клиент 0172,Партнеры,Санкт-Петербург,2024-06-25
C0173,Клиент 0173,B2C,Казань,2024-07-28
C0174,Клиент 0174,B2C,Екатеринбург,2024-01-15
C0175,Клиент 0175,B2B,Екатеринбург,2024-10-31
C0176,Клиент 0176,B2C,Екатеринбург,2025-06-28
C0177,Клиент 0177,B2B,Санкт-Петербург,2025-05-10
C0178,Клиент 0178,B2B,Екатеринбург,2025-11-09
C0179,Клиент 0179,B2B,Екатеринбург,2024-01-25
C0180,Клиент 0180,B2C,Санкт-Петербург,2025-04-23
C0181,Клиент 0181,B2B,Новосибирск,2025-11-30
C0182,Клиент 0182,B2C,Новосибирск,2025-01-20
C0183,Клиент 0183,B2C,Санкт-Петербург,2024-10-23
C0184,Клиент 0184,B2C,Москва,2025-09-20
C0185,Клиент 0185,B2C,Екатеринбург,2025-08-13
C0186,Клиент 0186,B2C,Санкт-Петербург,2024-12-20
C0187,Клиент 0187,B2C,Санкт-Петербург,2024-02-28
C0188,Клиент 0188,B2B,Москва,2025-05-17
C0189,Клиент 0189,B2C,Казань,2025-01-26
C0190,Клиент 0190,B2C,Санкт-Петербург,2024-12-09
C0191,Клиент 0191,B2B,Санкт-Петербург,2025-03-05
C0192,Клиент 0192,B2C,Москва,2024-07-28
C0193,Клиент 0193,B2B,Москва,2024-11-18
C0194,Клиент 0194,B2B,Новосибирск,2024-06-27
C0195,Клиент 0195,B2C,Екатеринбург,2025-03-19
C0196,Клиент 0196,B2C,Москва,2024-05-08
C0197,Клиент 0197,B2C,Москва,2024-05-19
C0198,Клиент 0198,B2C,Казань,2025-07-15
C0199,Клиент 0199,B2C,Санкт-Петербург,2025-11-27
C0200,Клиент 0200,B2B,Новосибирск,2024-12-04
C0201,Клиент 0201,B2B,Москва,2024-01-10
C0202,Клиент 0202,B2C,Екатеринбург,2025-07-26
C0203,Клиент 0203,B2C,Новосибирск,2024-02-08
C0204,Клиент 0204,B2B,Санкт-Петербург,2024-04-30
C0205,Клиент 0205,B2C,Санкт-Петербург,2025-09-19
C0206,Клиент 0206,B2B,Санкт-Петербург,2024-02-20
C0207,Клиент 0207,B2B,Санкт-Петербург,2024-11-12
C0208,Клиент 0208,B2C,Екатеринбург,2025-08-04
C0209,Клиент 0209,B2B,Санкт-Петербург,2025-08-04
C0210,Клиент 0210,B2B,Москва,2025-07-05
C0211,Клиент 0211,B2C,Казань,2025-09-30
C0212,Клиент 0212,B2C,Москва,2024-03-16
C0213,Клиент 0213,B2C,Екатеринбург,2025-05-10
C0214,Клиент 0214,Партнеры,Москва,2024-04-04
C0215,Клиент 0215,B2C,Санкт-Петербург,2024-02-29
C0216,Клиент 0216,B2C,Краснодар,2025-07-19
C0217,Клиент 0217,B2C,Екатеринбург,2024-09-02
C0218,Клиент 0218,B2C,Санкт-Петербург,2025-05-06
C0219,Клиент 0219,B2B,Екатеринбург,2024-03-21
C0220,Клиент 0220,B2B,Новосибирск,2025-10-21
C0221,Клиент 0221,B2C,Новосибирск,2025-07-04
C0222,Клиент 0222,B2C,Санкт-Петербург,2024-08-03
C0223,Клиент 0223,B2B,Казань,2024-03-18
C0224,Клиент 0224,B2B,Краснодар,2025-04-01
C0225,Клиент 0225,B2C,Новосибирск,2024-03-24
C0226,Клиент 0226,B2C,Казань,2024-06-24
C0227,Клиент 0227,B2B,Санкт-Петербург,2025-03-17
C0228,Клиент 0228,B2B,Краснодар,2025-07-04
C0229,Клиент 0229,B2B,Краснодар,2025-04-26
C0230,Клиент 0230,B2B,Москва,2025-03-22
C0231,Клиент 0231,B2B,Краснодар,2024-09-28
C0232,Клиент 0232,B2C,Москва,2024-12-19
C0233,Клиент 0233,B2B,Москва,2024-02-04
C0234,Клиент 0234,Партнеры,Екатеринбург,2024-10-25
C0235,Клиент 0235,B2C,Екатеринбург,2024-09-01
C0236,Клиент 0236,B2C,Москва,2025-09-25
C0237,Клиент 0237,B2C,Краснодар,2024-07-22
C0238,Клиент 0238,B2C,Екатеринбург,2025-05-17
C0239,Клиент 0239,B2B,Екатеринбург,2025-11-20
C0240,Клиент 0240,B2B,Екатеринбург,2024-12-12
C0241,Клиент 0241,B2B,Москва,2024-10-09
C0242,Клиент 0242,B2C,Москва,2025-05-26
C0243,Клиент 0243,B2C,Санкт-Петербург,2025-09-06
C0244,Клиент 0244,B2B,Екатеринбург,2025-07-21
C0245,Клиент 0245,B2B,Новосибирск,2024-02-13
C0246,Клиент 0246,B2C,Казань,2025-01-28
C0247,Клиент 0247,B2C,Москва,2024-02-23
C0248,Клиент 0248,Партнеры,Санкт-Петербург,2025-04-20
C0249,Клиент 0249,Партнеры,Казань,2024-11-04
C0250,Клиент 0250,B2C,Москва,2024-04-26
C0251,Клиент 0251,B2C,Москва,2025-04-05
C0252,Клиент 0252,B2C,Новосибирск,2025-02-16
C0253,Клиент 0253,B2B,Москва,2025-09-25
C0254,Клиент 0254,B2C,Казань,2025-07-15
C0255,Клиент 0255,Партнеры,Новосибирск,2024-09-12
C0256,Клиент 0256,B2B,Екатеринбург,2025-03-24
C0257,Клиент 0257,B2C,Москва,2025-08-20
C0258,Клиент 0258,B2C,Москва,2024-02-11
C0259,Клиент 0259,B2C,Санкт-Петербург,2024-03-25
C0260,Клиент 0260,B2C,Санкт-Петербург,2024-03-05
C0261,Клиент 0261,B2C,Санкт-Петербург,2024-11-25
C0262,Клиент 0262,Партнеры,Санкт-Петербург,2025-02-05
C0263,Клиент 0263,Партнеры,Казань,2025-06-06
C0264,Клиент 0264,B2C,Новосибирск,2025-11-12
C0265,Клиент 0265,B2C,Екатеринбург,2025-04-24
C0266,Клиент 0266,B2C,Москва,2025-07-05
C0267,Клиент 0267,B2B,Краснодар,2024-09-03
C0268,Клиент 0268,B2B,Казань,2024-12-21
C0269,Клиент 0269,Партнеры,Москва,2024-12-21
C0270,Клиент 0270,B2B,Москва,2024-06-19
C0271,Клиент 0271,B2B,Новосибирск,2025-03-14
C0272,Клиент 0272,B2C,Москва,2025-03-31
C0273,Клиент 0273,B2C,Москва,2024-11-06
C0274,Клиент 0274,B2B,Казань,2025-04-30
C0275,Клиент 0275,B2B,Новосибирск,2024-11-23
C0276,Клиент 0276,B2B,Новосибирск,2024-09-28
C0277,Клиент 0277,B2B,Новосибирск,2024-09-06
C0278,Клиент 0278,B2C,Санкт-Петербург,2024-09-25
C0279,Клиент 0279,B2B,Москва,2025-09-14
C0280,Клиент 0280,Партнеры,Москва,2024-10-14
C0281,Клиент 0281,B2C,Казань,2025-02-26
C0282,Клиент 0282,B2C,Москва,2025-05-12
C0283,Клиент 0283,B2C,Москва,2025-04-23
C0284,Клиент 0284,Партнеры,Новосибирск,2024-03-29
C0285,Клиент 0285,B2C,Новосибирск,2025-04-04
C0286,Клиент 0286,Партнеры,Новосибирск,2024-11-03
C0287,Клиент 0287,B2B,Казань,2025-10-12
C0288,Клиент 0288,B2B,Москва,2024-12-02
C0289,Клиент 0289,B2B,Краснодар,2024-01-03
C0290,Клиент 0290,B2C,Москва,2025-11-26
C0291,Клиент 0291,B2B,Санкт-Петербург,2024-03-18
C0292,Клиент 0292,B2B,Москва,2024-03-08
C0293,Клиент 0293,B2C,Москва,2025-11-21
C0294,Клиент 0294,B2B,Москва,2024-11-18
C0295,Клиент 0295,B2B,Екатеринбург,2025-03-21
C0296,Клиент 0296,B2C,Казань,2024-02-02
C0297,Клиент 0297,B2C,Москва,2024-01-23
C0298,Клиент 0298,B2C,Краснодар,2025-02-12
C0299,Клиент 0299,B2C,Санкт-Петербург,2025-06-17
C0300,Клиент 0300,B2C,Новосибирск,2025-11-26
C0301,Клиент 0301,B2C,Краснодар,2024-10-26
C0302,Клиент 0302,B2B,Краснодар,2024-04-27
C0303,Клиент 0303,B2C,Москва,2024-08-25
C0304,Клиент 0304,B2B,Екатеринбург,2025-06-22
C0305,Клиент 0305,B2C,Санкт-Петербург,2025-07-16
C0306,Клиент 0306,B2B,Екатеринбург,2024-09-07
C0307,Клиент 0307,Партнеры,Москва,2024-06-29
C0308,Клиент 0308,B2C,Новосибирск,2025-10-07
C0309,Клиент 0309,B2C,Екатеринбург,2024-10-30
C0310,Клиент 0310,B2B,Казань,2024-10-03
C0311,Клиент 0311,B2B,Санкт-Петербург,2025-03-08
C0312,Клиент 0312,B2B,Новосибирск,2024-12-21
C0313,Клиент 0313,B2C,Екатеринбург,2024-08-06
C0314,Клиент 0314,B2C,Краснодар,2025-05-09
C0315,Клиент 0315,B2B,Москва,2024-07-19
C0316,Клиент 0316,B2B,Екатеринбург,2025-09-04
C0317,Клиент 0317,B2C,Казань,2024-05-02
C0318,Клиент 0318,B2C,Екатеринбург,2025-06-18
C0319,Клиент 0319,Партнеры,Москва,2024-05-16
C0320,Клиент 0320,B2B,Санкт-Петербург,2024-06-03
C0321,Клиент 0321,B2C,Казань,2025-01-21
C0322,Клиент 0322,B2B,Санкт-Петербург,2025-11-15
C0323,Клиент 0323,B2C,Казань,2025-10-05
C0324,Клиент 0324,B2C,Краснодар,2024-10-29
C0325,Клиент 0325,B2B,Москва,2024-07-05
C0326,Клиент 0326,B2C,Санкт-Петербург,2025-09-28
C0327,Клиент 0327,B2B,Новосибирск,2024-01-01
C0328,Клиент 0328,Партнеры,Новосибирск,2024-05-02
C0329,Клиент 0329,B2B,Санкт-Петербург,2024-12-11
C0330,Клиент 0330,B2C,Новосибирск,2025-07-20
C0331,Клиент 0331,B2C,Москва,2025-10-23
C0332,Клиент 0332,B2C,Санкт-Петербург,2025-07-14
C0333,Клиент 0333,B2B,Москва,2024-11-29
C0334,Клиент 0334,Партнеры,Екатеринбург,2025-11-08
C0335,Клиент 0335,B2C,Санкт-Петербург,2025-08-18
C0336,Клиент 0336,B2B,Санкт-Петербург,2025-04-05
C0337,Клиент 0337,B2C,Санкт-Петербург,2025-12-17
C0338,Клиент 0338,Партнеры,Москва,2025-06-01
C0339,Клиент 0339,B2B,Москва,2025-12-17
C0340,Клиент 0340,B2B,Санкт-Петербург,2024-09-13
C0341,Клиент 0341,B2C,Москва,2025-11-01
C0342,Клиент 0342,B2C,Екатеринбург,2024-09-05
C0343,Клиент 0343,B2C,Москва,2025-06-23
C0344,Клиент 0344,Партнеры,Екатеринбург,2024-08-28
C0345,Клиент 0345,B2C,Москва,2024-09-10
C0346,Клиент 0346,B2B,Санкт-Петербург,2025-02-04
C0347,Клиент 0347,B2C,Москва,2025-08-10
C0348,Клиент 0348,B2C,Казань,2025-04-20
C0349,Клиент 0349,B2C,Новосибирск,2025-05-31
C0350,Клиент 0350,B2B,Казань,2025-01-29
C0351,Клиент 0351,B2B,Новосибирск,2024-04-11
C0352,Клиент 0352,B2C,Казань,2024-06-22
C0353,Клиент 0353,B2C,Москва,2025-01-25
C0354,Клиент 0354,B2B,Казань,2025-10-24
C0355,Клиент 0355,B2B,Краснодар,2024-06-08
C0356,Клиент 0356,Партнеры,Казань,2024-02-15
C0357,Клиент 0357,B2C,Москва,2024-05-23
C0358,Клиент 0358,B2C,Санкт-Петербург,2025-11-30
C0359,Клиент 0359,B2C,Екатеринбург,2024-09-30
C0360,Клиент 0360,B2B,Москва,2025-04-23
